jarmutipus,ev,sorszam,psz,esz,sd_al,sd_op,pp_al,pp_op,erkezett,munkabavetel,allapotfelvetel,reszatvetel,vegatvetel,hazaadas,szamlazas,megjegyzes,id
T5C5K2MOD,2014,1,4043,NULL,20001715,NULL,71018361,NULL,2014.01.30,NULL,2014.05.23,2014.06.20,2014.11.15,2014.11.20,NULL,NULL,98,1
T5C5K2MOD,2014,2,4042,NULL,20001711,NULL,71018359,NULL,2014.01.30,NULL,2014.05.20,2014.06.20,2014.11.15,2014.11.20,NULL,NULL,98,2
T5C5K2MOD,2014,3,4079,NULL,20001756,NULL,71018459,NULL,2014.04.28,NULL,2014.06.18,2014.06.26,2014.11.22,2014.11.24,NULL,NULL,98,3
T5C5K2MOD,2014,4,4099,NULL,20001757,NULL,71018461,NULL,2014.04.28,NULL,2014.06.06,2014.06.13,2014.11.22,2014.11.24,NULL,NULL,98,4
T5C5K2MOD,2014,5,4092,NULL,20001758,NULL,71018485,NULL,2014.04.28,NULL,2014.07.09,2014.06.30,2014.11.27,2014.11.27,NULL,NULL,98,5
T5C5K2MOD,2014,6,4138,NULL,20001759,NULL,71018483,NULL,2014.04.28,NULL,2014.06.20,2014.07.14,2014.11.27,2014.11.27,NULL,NULL,98,6
T5C5K2MOD,2014,7,4088,NULL,20001761,NULL,71018487,NULL,2014.05.09,NULL,2014.07.14,2014.08.04,2014.12.03,2014.12.03,NULL,NULL,98,7
T5C5K2MOD,2014,8,4078,NULL,20001762,NULL,71018489,NULL,2014.05.09,NULL,2014.07.23,2014.08.07,2014.12.06,2014.12.06,NULL,NULL,98,8
T5C5K2MOD,2014,9,4084,NULL,20001763,NULL,71018491,NULL,2014.05.09,NULL,2014.07.21,2014.08.04,2014.12.06,2014.12.06,NULL,NULL,98,9
T5C5K2MOD,2014,10,4143,NULL,20001764,NULL,71018493,NULL,2014.05.09,NULL,2014.07.07,2014.07.22,2014.12.03,2014.12.03,NULL,NULL,98,10
T5C5K2MOD,2014,11,4023,NULL,20001786,NULL,71018505,NULL,2014.06.23,NULL,2014.08.15,2014.08.27,2014.12.10,2014.12.10,NULL,NULL,98,11
T5C5K2MOD,2014,12,4022,NULL,20001787,NULL,71018507,NULL,2014.06.23,NULL,2014.08.08,2014.08.14,2014.12.10,2014.12.10,NULL,NULL,98,12
T5C5K2MOD,2014,13,4041,NULL,20001788,NULL,71018509,NULL,2014.06.23,NULL,2014.08.28,2014.09.03,2014.12.15,2014.12.15,NULL,NULL,98,13
T5C5K2MOD,2014,14,4090,NULL,20001789,NULL,71018511,NULL,2014.06.23,NULL,2014.08.29,2014.09.10,2014.12.15,2014.12.15,NULL,NULL,98,14
T5C5K2MOD,2014,15,4213,NULL,20001805,NULL,71018521,NULL,2014.08.06,NULL,2014.09.22,2014.09.30,2014.12.18,2014.12.18,NULL,NULL,98,15
T5C5K2MOD,2014,16,4098,NULL,20001806,NULL,71018523,NULL,2014.08.06,NULL,2014.09.12,2014.09.19,2014.12.18,2014.12.18,NULL,NULL,98,16
T5C5K2MOD,2014,17,4020,NULL,20001835,NULL,71018551,NULL,2014.09.04,NULL,2014.09.30,2014.10.16,2014.12.21,2014.12.21,NULL,NULL,98,17
T5C5K2MOD,2014,18,4215,NULL,20001836,NULL,71018553,NULL,2014.09.04,NULL,2014.10.06,2014.10.22,2014.12.21,2014.12.21,NULL,NULL,98,18
T5C5K2MOD,2014,19,4071,NULL,20001838,NULL,71018559,NULL,2014.09.12,NULL,2014.10.20,2014.11.03,2014.12.31,2014.12.30,NULL,NULL,98,19
T5C5K2MOD,2014,20,4081,NULL,20001839,NULL,71018561,NULL,2014.09.12,NULL,2014.10.27,2014.11.11,2014.12.31,2014.12.30,NULL,NULL,98,20
T5C5K2MOD,2015,1,4209,NULL,20001870,NULL,71018699,NULL,2014.12.17,NULL,2015.02.06,2015.02.13,2015.04.28,2015.05.05,NULL,NULL,98,21
T5C5K2MOD,2015,2,4256,NULL,20001869,NULL,71018697,NULL,2014.12.15,NULL,2015.02.13,2015.02.20,2015.04.28,2015.05.05,NULL,NULL,98,22
T5C5K2MOD,2015,3,4144,NULL,20001859,NULL,71018675,NULL,2014.12.04,NULL,2015.01.23,2015.02.06,2015.04.09,2015.04.10,NULL,NULL,98,23
T5C5K2MOD,2015,4,4208,NULL,20001857,NULL,71018673,NULL,2014.12.04,NULL,2015.01.30,2015.02.06,2015.04.09,2015.04.10,NULL,NULL,98,24
T5C5K2MOD,2015,5,4039,NULL,20001856,NULL,71018671,NULL,2015.02.06,NULL,2015.03.09,2015.03.24,2015.05.27,2015.05.28,NULL,NULL,98,25
T5C5K2MOD,2015,6,4038,NULL,20001854,NULL,71018667,NULL,2015.02.06,NULL,2015.03.02,2015.03.11,2015.05.27,2015.05.28,NULL,NULL,98,26
T5C5K2MOD,2015,7,4253,NULL,20001877,NULL,71018713,NULL,2015.03.03,NULL,2015.04.23,2015.05.15,2015.06.30,2015.06.30,NULL,NULL,98,27
T5C5K2MOD,2015,8,4244,NULL,20001880,NULL,71018719,NULL,2015.03.03,NULL,2015.04.01,2015.04.15,2015.06.30,2015.06.30,NULL,NULL,98,28
T5C5K2MOD,2015,9,4040,NULL,20001879,NULL,71018717,NULL,2015.04.03,NULL,2015.05.04,2015.05.22,2015.07.31,2015.07.31,NULL,NULL,98,29
T5C5K2MOD,2015,10,4212,NULL,20001878,NULL,71018715,NULL,2015.04.03,NULL,2015.05.11,2015.06.03,2015.07.31,2015.07.31,NULL,NULL,98,30
T5C5K2MOD,2015,11,4096,NULL,20001874,NULL,71018707,NULL,2015.05.07,NULL,2015.06.19,2015.07.10,2015.08.14,2015.08.14,NULL,NULL,98,31
T5C5K2MOD,2015,12,4082,NULL,20001866,NULL,71018691,NULL,2015.05.07,NULL,2015.06.11,2015.06.19,2015.08.14,2015.08.14,NULL,NULL,98,32
T5C5K2MOD,2015,13,4251,NULL,20001855,NULL,71018669,NULL,2015.06.01,NULL,2015.07.06,2015.07.20,2015.09.25,2015.09.29,NULL,NULL,98,33
T5C5K2MOD,2015,14,4233,NULL,20001852,NULL,71018663,NULL,2015.06.02,NULL,2015.07.15,2015.07.27,2015.09.25,2015.09.29,NULL,NULL,98,34
T5C5K2MOD,2015,15,4224,NULL,20001876,NULL,71018711,NULL,2015.06.12,NULL,2015.08.03,2015.08.05,2015.09.25,2015.09.29,NULL,NULL,98,35
T5C5K2MOD,2015,16,4247,NULL,20001867,NULL,71018693,NULL,2015.06.12,NULL,2015.08.10,2015.08.17,2015.09.25,2015.09.29,NULL,NULL,98,36
T5C5K2MOD,2015,17,4100,NULL,20001873,NULL,71018705,NULL,2015.07.01,NULL,2015.08.14,2015.08.25,2015.09.30,2015.09.30,NULL,NULL,98,37
T5C5K2MOD,2015,18,4106,NULL,20001875,NULL,71018709,NULL,2015.07.01,NULL,2015.08.24,2015.08.31,2015.09.30,2015.09.30,NULL,NULL,98,38
T5C5K2MOD,2015,19,4276,NULL,20001872,NULL,71018703,NULL,2015.07.14,NULL,NULL,2015.09.25,NULL,NULL,NULL,NULL,98,39
T5C5K2MOD,2015,20,4243,NULL,20001868,NULL,71018695,NULL,2015.07.14,NULL,2015.09.01,2015.09.15,NULL,NULL,NULL,NULL,98,40
T5C5K2MOD,2015,21,4237,NULL,20001853,NULL,71018665,NULL,2015.08.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,98,41
T5C5K2MOD,2015,22,4123,NULL,20001871,NULL,71018701,NULL,2015.08.24,NULL,NULL,2015.10.02,NULL,NULL,NULL,NULL,98,42
TW6000 J1,2015,1,1533,NULL,20001862,NULL,71018681,NULL,2014.12.17,NULL,2015.02.20,2015.02.27,2015.04.30,2015.05.05,NULL,NULL,100,43
TW6000 J1,2015,2,1545,NULL,20001861,NULL,71018679,NULL,2014.12.09,NULL,2015.02.10,2015.02.18,2015.04.17,2015.04.15,NULL,NULL,100,44
TW6000 J1,2015,3,1527,NULL,20001864,NULL,71018685,NULL,2015.02.04,NULL,2015.03.12,2015.03.20,2015.05.29,2015.05.29,NULL,NULL,100,45
TW6000 J1,2015,4,1536,NULL,20001863,NULL,71018683,NULL,2015.02.04,NULL,2015.03.30,2015.04.16,2015.06.23,2015.06.26,NULL,NULL,100,46
TW6000 J1,2015,5,1528,NULL,20001865,NULL,71018687,NULL,2015.02.24,NULL,2015.05.11,2015.05.15,2015.06.30,2015.06.30,NULL,NULL,100,47
VOLVO,2015,1,NCZ548,YV3R7G71X21001178,20001913,NULL,71018749,71018750,2015.04.17,NULL,2015.04.17,NULL,2015.09.15,2015.09.15,2015.09.17,ablakcsere megtörtént,35,116
VOLVO,2015,2,NCZ551,1187,20001911,NULL,71018743,71018744,2015.04.17,NULL,2015.04.17,NULL,2015.09.15,2015.09.21,2015.09.22,NULL,35,117
VOLVO,2015,3,NCZ549,YV3R7G71121001179,20001914,NULL,71018752,71018753,2015.04.17,NULL,2015.04.20,NULL,2015.09.16,2015.09.16,2015.09.17,ablakcsere megtörtént,35,118
VOLVO,2015,4,NCZ540,YV3R7G71121001160,20001912,NULL,71018746,71018747,2015.04.17,NULL,2015.04.21,NULL,2015.09.15,2015.09.15,2015.09.17,ablakcsere megtörtént,35,119
VOLVO,2015,5,NCZ553,1189,20001915,NULL,71018759,71018760,2015.05.20,NULL,2015.05.20,NULL,2015.09.15,2015.09.16,2015.09.17,NULL,35,120
VOLVO,2015,6,NCZ554,YV3R7G71021001190,20001918,NULL,71018756,71018757,2015.05.20,NULL,2015.05.20,NULL,2015.09.15,2015.09.15,2015.09.17,ablakcsere megtörtént,35,121
VOLVO,2015,7,NCZ542,1164,20001920,NULL,71018789,71018790,2015.06.01,NULL,2015.06.02,NULL,2015.09.16,2015.09.21,2015.09.22,NULL,35,122
VOLVO,2015,8,NCZ568,YV3R7G71521001203,20001917,NULL,71018765,71018766,2015.05.20,NULL,2015.05.21,NULL,2015.09.16,2015.09.16,2015.09.17,ablakcsere megtörtént,35,123
VOLVO,2015,9,NCZ567,YV3R7G81X31001391,20001916,NULL,71018762,71018763,2015.05.20,NULL,2015.05.20,NULL,2015.09.17,2015.09.18,2015.09.22,ablakcsere megtörtént,35,124
VOLVO,2015,10,NCZ547,YV3R7G71821001177,20001921,NULL,71018786,71018787,2015.06.03,NULL,2015.06.04,NULL,2015.09.17,2015.09.18,2015.09.22,ablakcsere megtörtént,35,125
VOLVO,2015,11,NCZ552,YV3R7G71221001188,20001923,NULL,71018794,71018795,2015.06.18,NULL,2015.06.19,NULL,2015.09.17,2015.09.18,2015.09.22,ablakcsere megtörtént,35,126
VOLVO,2015,12,NCZ539,YV3R7G71421001158,20001929,NULL,71018812,71018813,2015.06.24,NULL,2015.06.25,NULL,2015.09.18,2015.09.21,2015.09.25,ablakcsere megtörtént,35,127
VOLVO,2015,13,NCZ544,1173,20001930,NULL,71018815,71018816,2015.06.24,NULL,2015.06.29,NULL,2015.09.18,2015.09.21,2015.09.25,NULL,35,128
VOLVO,2015,14,NCZ557,YV3R7G71921001205,20001927,NULL,71018806,71018807,2015.06.29,NULL,2015.06.30,NULL,2015.09.18,2015.09.21,2015.09.25,ablakcsere megtörtént,35,129
VOLVO,2015,15,NCZ561,1223,20001932,NULL,71018821,71018822,2015.06.24,NULL,2015.06.30,NULL,2015.09.21,2015.09.21,2015.09.25,NULL,35,130
VOLVO,2015,16,NCZ573,1398,20001931,NULL,71018818,71018819,2015.06.24,NULL,2015.06.29,NULL,2015.09.21,2015.09.21,2015.09.25,NULL,35,131
VOLVO,2015,17,NCZ570,1395,20001934,NULL,71018829,71018830,2015.07.10,NULL,2015.07.10,NULL,2015.09.22,2015.09.24,2015.09.29,NULL,35,132
VOLVO,2015,18,NCZ576,1405,20001940,NULL,71018838,71018839,2015.07.17,NULL,2015.07.17,NULL,2015.09.22,2015.09.22,2015.09.25,NULL,35,133
VOLVO,2015,19,NCZ543,1165,20001939,NULL,71018835,71018836,2015.07.20,NULL,2015.07.20,NULL,2015.09.22,2015.09.24,2015.09.29,NULL,35,134
VOLVO,2015,20,NCZ558,1213,20001933,NULL,71018826,71018827,2015.07.21,NULL,2015.07.21,NULL,2015.09.24,2015.09.25,2015.09.29,NULL,35,135
VOLVO,2015,21,NCZ569,1394,20001943,NULL,71018841,71018842,2015.08.06,NULL,2015.08.07,NULL,2015.09.24,2015.09.24,2015.09.29,NULL,35,136
VOLVO,2015,22,NCZ562,1225,20001935,NULL,71018846,71018847,2015.08.12,NULL,2015.08.12,NULL,2015.09.24,2015.09.25,2015.09.29,NULL,35,137
VOLVO,2015,23,NCZ546,1175,20001941,NULL,71018849,71018850,2015.08.13,NULL,2015.08.13,NULL,2015.09.25,2015.09.28,2015.09.30,NULL,35,138
VOLVO,2015,24,NCZ566,1390,20001937,NULL,71018852,71018853,2015.08.14,NULL,2015.08.17,NULL,2015.09.26,2015.09.28,2015.09.30,NULL,35,139
VOLVO,2015,25,NCZ564,1227,20001936,NULL,71018855,71018856,2015.08.14,NULL,2015.08.18,NULL,2015.09.26,2015.09.28,2015.09.30,NULL,35,140
VOLVO,2015,26,NCZ575,1403,20001971,NULL,71018939,71018940,2015.09.02,NULL,2015.09.02,NULL,2015.09.26,2015.09.29,2015.09.30,NULL,35,141
VOLVO,2015,27,NCZ571,1396,20001942,NULL,71018933,71018934,2015.09.02,NULL,2015.09.02,NULL,2015.09.30,2015.09.30,2015.09.30,NULL,35,142
VOLVO,2015,28,NCZ559,1214,20001944,NULL,71018936,71018937,2015.09.03,NULL,2015.09.03,NULL,2015.09.30,2015.10.02,2015.10.06,NULL,35,143
VOLVO,2015,29,NCZ560,1222,20001972,NULL,71018942,71018943,2015.09.09,NULL,2015.09.14,NULL,2015.09.29,2015.09.30,2015.10.01,NULL,35,144
VOLVO,2015,2000,NCZ545,YV3R7G71221001174,20001924,NULL,71018797,71018798,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ablakcsere megtörtént,35,145
VOLVO,2015,2001,NCZ556,YV3R7G81131001392,20001925,NULL,71018800,71018801,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ablakcsere megtörtént,35,146
VOLVO,2015,2002,NCZ555,YV3R7G71221001191,20001926,NULL,71018803,71018804,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ablakcsere megtörtént,35,147
VOLVO,2015,2003,NCZ565,YV3R7G71031001241,20001928,NULL,71018809,71018810,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ablakcsere megtörtént,35,148
VOLVO,2015,2004,NCZ550,1180,20001938,NULL,71018832,71018833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ablakcsere megtörtént,35,149
VOLVO,2015,30,NCZ572,YV3R7G81031001397,20001974,NULL,71018950,71018951,2015.09.18,NULL,2015.09.18,NULL,2015.09.29,2015.09.30,2015.09.30,ablakcsere megtörtént,35,150
